State,District,Year,Month,Hour,Weather_Condition,Road_Type,Vehicle_Type,Cause_of_Accident,Accident_Severity
Telangana,Ahmedabad,2023,2,11,Rainy,Rural Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Karnataka,Nagpur,2019,1,6,Clear,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Madhya Pradesh,Pune,2019,10,18,Cloudy,National Highway,Auto Rickshaw,Wrong Side Driving,Fatal
Uttar Pradesh,Bhopal,2020,3,21,Foggy,Rural Road,Auto Rickshaw,Overspeeding,Grievous Injury
Karnataka,Pune,2017,1,23,Rainy,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Madhya Pradesh,Hyderabad,2023,6,15,Clear,National Highway,Truck,Overspeeding,Grievous Injury
Rajasthan,Bhopal,2021,11,7,Clear,Rural Road,Car,Mechanical Failure,Minor Injury
Maharashtra,Mumbai,2021,7,18,Rainy,Urban Road,Car,Poor Road Condition,Grievous Injury
Rajasthan,Bengaluru,2021,9,5,Foggy,State Highway,Truck,Mechanical Failure,Grievous Injury
Tamil Nadu,Mumbai,2019,7,1,Cloudy,National Highway,Truck,Mechanical Failure,Fatal
Madhya Pradesh,Bengaluru,2019,4,1,Clear,Urban Road,Bus,Overspeeding,Minor Injury
Gujarat,Mumbai,2017,4,7,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Andhra Pradesh,Pune,2019,8,9,Clear,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Rajasthan,Nagpur,2018,4,20,Clear,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Karnataka,Ahmedabad,2019,1,20,Clear,State Highway,Bus,Poor Road Condition,Grievous Injury
Telangana,Chennai,2021,9,10,Foggy,Urban Road,Car,Signal Jumping,Minor Injury
Andhra Pradesh,Bengaluru,2017,3,19,Foggy,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Chennai,2020,1,19,Rainy,National Highway,Car,Drunk Driving,Minor Injury
Kerala,Hyderabad,2020,9,23,Cloudy,Rural Road,Truck,Signal Jumping,Minor Injury
Madhya Pradesh,Hyderabad,2017,11,2,Cloudy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Telangana,Chennai,2018,11,15,Rainy,Rural Road,Car,Signal Jumping,Minor Injury
Madhya Pradesh,Hyderabad,2020,10,2,Foggy,National Highway,Bus,Wrong Side Driving,Grievous Injury
Tamil Nadu,Bhopal,2021,10,7,Cloudy,Rural Road,Car,Signal Jumping,Minor Injury
Gujarat,Chennai,2020,5,18,Rainy,State Highway,Auto Rickshaw,Signal Jumping,Fatal
Madhya Pradesh,Hyderabad,2020,12,11,Clear,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Karnataka,Bengaluru,2021,9,17,Cloudy,Rural Road,Two-Wheeler,Overspeeding,Grievous Injury
Tamil Nadu,Nagpur,2019,3,12,Foggy,State Highway,Truck,Signal Jumping,Minor Injury
Uttar Pradesh,Hyderabad,2018,6,10,Cloudy,Urban Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Kerala,Chennai,2023,11,12,Clear,National Highway,Bus,Signal Jumping,Minor Injury
Gujarat,Bengaluru,2021,12,20,Foggy,Urban Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Maharashtra,Chennai,2021,11,2,Foggy,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Telangana,Jaipur,2022,12,5,Rainy,State Highway,Bus,Signal Jumping,Minor Injury
Rajasthan,Pune,2017,7,22,Foggy,State Highway,Car,Mechanical Failure,Minor Injury
Madhya Pradesh,Pune,2018,5,2,Rainy,Urban Road,Bus,Signal Jumping,Minor Injury
Telangana,Pune,2019,12,0,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Telangana,Mumbai,2022,8,13,Clear,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Maharashtra,Bhopal,2023,10,22,Clear,National Highway,Truck,Mechanical Failure,Grievous Injury
Maharashtra,Chennai,2021,6,19,Clear,State Highway,Truck,Poor Road Condition,Minor Injury
Tamil Nadu,Bhopal,2023,12,6,Clear,Rural Road,Bus,Overspeeding,Grievous Injury
Gujarat,Chennai,2023,6,8,Clear,National Highway,Bus,Poor Road Condition,Grievous Injury
Karnataka,Jaipur,2023,7,0,Cloudy,Rural Road,Bus,Signal Jumping,Grievous Injury
Kerala,Hyderabad,2022,8,9,Clear,Urban Road,Auto Rickshaw,Overspeeding,Grievous Injury
Maharashtra,Mumbai,2019,12,12,Foggy,Rural Road,Truck,Drunk Driving,Grievous Injury
Maharashtra,Nagpur,2022,2,11,Rainy,State Highway,Truck,Poor Road Condition,Grievous Injury
Rajasthan,Chennai,2022,7,3,Cloudy,Urban Road,Two-Wheeler,Drunk Driving,Fatal
Uttar Pradesh,Bengaluru,2022,9,6,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Grievous Injury
Maharashtra,Hyderabad,2021,1,9,Clear,Urban Road,Car,Wrong Side Driving,Minor Injury
Uttar Pradesh,Ahmedabad,2021,12,21,Clear,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Tamil Nadu,Ahmedabad,2017,1,6,Foggy,National Highway,Bus,Poor Road Condition,Minor Injury
Karnataka,Nagpur,2020,7,14,Cloudy,Rural Road,Two-Wheeler,Drunk Driving,Fatal
Telangana,Bengaluru,2018,5,18,Rainy,State Highway,Car,Wrong Side Driving,Fatal
Maharashtra,Pune,2017,1,6,Rainy,Urban Road,Car,Mechanical Failure,Minor Injury
Madhya Pradesh,Mumbai,2019,1,13,Rainy,National Highway,Truck,Overspeeding,Fatal
Uttar Pradesh,Bhopal,2022,2,20,Rainy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Rajasthan,Kochi,2021,11,13,Clear,Rural Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Kerala,Kochi,2022,10,17,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Rajasthan,Mumbai,2021,9,9,Clear,Rural Road,Auto Rickshaw,Signal Jumping,Grievous Injury
Maharashtra,Hyderabad,2023,12,2,Cloudy,Urban Road,Bus,Drunk Driving,Minor Injury
Gujarat,Jaipur,2018,12,5,Rainy,Rural Road,Auto Rickshaw,Wrong Side Driving,Fatal
Telangana,Hyderabad,2017,3,21,Foggy,State Highway,Truck,Mechanical Failure,Minor Injury
Karnataka,Ahmedabad,2017,9,22,Foggy,Rural Road,Car,Signal Jumping,Minor Injury
Madhya Pradesh,Bhopal,2019,6,21,Clear,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Ahmedabad,2023,10,8,Foggy,State Highway,Auto Rickshaw,Poor Road Condition,Fatal
Rajasthan,Chennai,2017,6,13,Clear,Rural Road,Truck,Mechanical Failure,Minor Injury
Uttar Pradesh,Ahmedabad,2017,7,20,Clear,Urban Road,Two-Wheeler,Signal Jumping,Grievous Injury
Uttar Pradesh,Kochi,2020,10,20,Cloudy,Urban Road,Bus,Drunk Driving,Grievous Injury
Gujarat,Kochi,2018,11,23,Rainy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Uttar Pradesh,Bhopal,2022,8,7,Rainy,State Highway,Car,Overspeeding,Grievous Injury
Rajasthan,Ahmedabad,2017,11,0,Rainy,Rural Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Gujarat,Mumbai,2019,3,2,Rainy,Rural Road,Car,Wrong Side Driving,Grievous Injury
Rajasthan,Mumbai,2022,8,21,Cloudy,Urban Road,Bus,Poor Road Condition,Minor Injury
Madhya Pradesh,Nagpur,2021,6,5,Rainy,Rural Road,Truck,Poor Road Condition,Grievous Injury
Telangana,Jaipur,2023,6,0,Rainy,Urban Road,Car,Overspeeding,Minor Injury
Kerala,Bhopal,2023,11,17,Foggy,Urban Road,Bus,Wrong Side Driving,Minor Injury
Madhya Pradesh,Ahmedabad,2017,3,9,Rainy,Urban Road,Truck,Wrong Side Driving,Fatal
Madhya Pradesh,Bhopal,2017,6,22,Rainy,State Highway,Two-Wheeler,Signal Jumping,Fatal
Uttar Pradesh,Hyderabad,2022,11,16,Clear,National Highway,Two-Wheeler,Drunk Driving,Fatal
Maharashtra,Pune,2021,8,20,Clear,National Highway,Car,Overspeeding,Minor Injury
Andhra Pradesh,Bengaluru,2020,7,0,Rainy,Rural Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Uttar Pradesh,Hyderabad,2018,10,21,Clear,Urban Road,Auto Rickshaw,Drunk Driving,Minor Injury
Maharashtra,Hyderabad,2020,10,22,Foggy,National Highway,Truck,Wrong Side Driving,Fatal
Rajasthan,Ahmedabad,2019,7,7,Foggy,National Highway,Two-Wheeler,Drunk Driving,Fatal
Andhra Pradesh,Pune,2022,3,11,Foggy,Rural Road,Bus,Mechanical Failure,Fatal
Uttar Pradesh,Mumbai,2017,10,18,Cloudy,State Highway,Truck,Overspeeding,Grievous Injury
Andhra Pradesh,Mumbai,2020,3,13,Foggy,Rural Road,Car,Overspeeding,Fatal
Andhra Pradesh,Hyderabad,2018,5,18,Rainy,Rural Road,Car,Overspeeding,Fatal
Tamil Nadu,Jaipur,2019,12,16,Foggy,Urban Road,Truck,Signal Jumping,Minor Injury
Telangana,Mumbai,2023,5,15,Foggy,State Highway,Bus,Drunk Driving,Minor Injury
Tamil Nadu,Chennai,2020,9,18,Foggy,Rural Road,Two-Wheeler,Drunk Driving,Minor Injury
Maharashtra,Hyderabad,2017,9,4,Foggy,National Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Karnataka,Bengaluru,2018,10,21,Clear,National Highway,Bus,Signal Jumping,Minor Injury
Gujarat,Pune,2017,5,18,Foggy,Rural Road,Two-Wheeler,Overspeeding,Grievous Injury
Kerala,Nagpur,2017,12,3,Foggy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Karnataka,Kochi,2019,5,4,Clear,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Gujarat,Bhopal,2018,6,4,Clear,Rural Road,Bus,Wrong Side Driving,Minor Injury
Maharashtra,Hyderabad,2021,8,23,Cloudy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Maharashtra,Mumbai,2023,6,0,Rainy,Urban Road,Truck,Poor Road Condition,Minor Injury
Rajasthan,Bhopal,2017,11,17,Cloudy,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Kerala,Bengaluru,2018,12,14,Clear,State Highway,Truck,Poor Road Condition,Fatal
Telangana,Ahmedabad,2017,6,20,Clear,Rural Road,Bus,Wrong Side Driving,Minor Injury
Andhra Pradesh,Kochi,2020,9,18,Clear,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Tamil Nadu,Jaipur,2020,1,22,Cloudy,Urban Road,Truck,Overspeeding,Minor Injury
Tamil Nadu,Nagpur,2018,4,13,Foggy,Urban Road,Truck,Overspeeding,Grievous Injury
Maharashtra,Ahmedabad,2023,10,5,Rainy,National Highway,Car,Drunk Driving,Minor Injury
Tamil Nadu,Bengaluru,2019,10,17,Rainy,Rural Road,Truck,Overspeeding,Minor Injury
Maharashtra,Mumbai,2021,12,7,Foggy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Andhra Pradesh,Chennai,2020,2,4,Rainy,State Highway,Two-Wheeler,Mechanical Failure,Grievous Injury
Maharashtra,Pune,2019,9,21,Foggy,State Highway,Two-Wheeler,Overspeeding,Grievous Injury
Rajasthan,Ahmedabad,2021,3,7,Cloudy,State Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Telangana,Ahmedabad,2020,10,5,Clear,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Madhya Pradesh,Nagpur,2021,11,9,Foggy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Uttar Pradesh,Pune,2022,2,2,Foggy,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Telangana,Bengaluru,2017,8,12,Clear,Urban Road,Bus,Overspeeding,Minor Injury
Telangana,Bhopal,2018,4,6,Clear,National Highway,Bus,Drunk Driving,Minor Injury
Karnataka,Bhopal,2020,11,3,Rainy,National Highway,Car,Wrong Side Driving,Grievous Injury
Kerala,Pune,2020,2,12,Foggy,Rural Road,Car,Drunk Driving,Fatal
Kerala,Jaipur,2017,4,5,Clear,Rural Road,Truck,Mechanical Failure,Minor Injury
Gujarat,Hyderabad,2020,7,15,Rainy,Rural Road,Truck,Poor Road Condition,Minor Injury
Uttar Pradesh,Jaipur,2020,7,21,Cloudy,Rural Road,Truck,Poor Road Condition,Minor Injury
Andhra Pradesh,Jaipur,2022,1,20,Foggy,National Highway,Car,Mechanical Failure,Minor Injury
Madhya Pradesh,Ahmedabad,2020,12,0,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Madhya Pradesh,Ahmedabad,2020,12,23,Clear,Urban Road,Truck,Signal Jumping,Minor Injury
Kerala,Kochi,2020,1,12,Clear,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Telangana,Mumbai,2019,3,1,Foggy,State Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Rajasthan,Bengaluru,2020,2,19,Cloudy,Rural Road,Car,Poor Road Condition,Grievous Injury
Gujarat,Bengaluru,2017,3,18,Clear,Urban Road,Bus,Wrong Side Driving,Minor Injury
Maharashtra,Kochi,2022,4,5,Foggy,National Highway,Bus,Mechanical Failure,Minor Injury
Gujarat,Ahmedabad,2020,7,10,Foggy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Karnataka,Nagpur,2021,2,16,Foggy,Rural Road,Bus,Drunk Driving,Fatal
Gujarat,Nagpur,2022,7,8,Clear,Rural Road,Truck,Drunk Driving,Grievous Injury
Telangana,Mumbai,2022,5,4,Clear,State Highway,Car,Overspeeding,Minor Injury
Andhra Pradesh,Pune,2021,8,4,Foggy,State Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Telangana,Ahmedabad,2017,8,15,Rainy,State Highway,Car,Drunk Driving,Minor Injury
Kerala,Bhopal,2019,5,3,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Andhra Pradesh,Bhopal,2023,10,19,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Grievous Injury
Tamil Nadu,Ahmedabad,2023,8,12,Foggy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Andhra Pradesh,Chennai,2017,12,16,Rainy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Gujarat,Pune,2019,9,8,Cloudy,State Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Gujarat,Bhopal,2018,7,12,Clear,National Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Gujarat,Hyderabad,2021,6,15,Clear,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Tamil Nadu,Jaipur,2022,7,19,Cloudy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Kerala,Ahmedabad,2022,7,9,Foggy,State Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Maharashtra,Chennai,2022,3,9,Foggy,State Highway,Truck,Signal Jumping,Minor Injury
Uttar Pradesh,Hyderabad,2021,6,19,Clear,Urban Road,Car,Wrong Side Driving,Grievous Injury
Kerala,Jaipur,2021,6,15,Foggy,Urban Road,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Jaipur,2023,11,22,Cloudy,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Kerala,Mumbai,2023,9,19,Clear,National Highway,Car,Overspeeding,Minor Injury
Karnataka,Pune,2023,1,0,Rainy,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Madhya Pradesh,Ahmedabad,2019,7,10,Foggy,State Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Madhya Pradesh,Chennai,2022,1,12,Cloudy,State Highway,Truck,Mechanical Failure,Minor Injury
Uttar Pradesh,Kochi,2017,10,17,Clear,Rural Road,Bus,Overspeeding,Fatal
Uttar Pradesh,Mumbai,2019,4,4,Clear,State Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Maharashtra,Nagpur,2022,7,3,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Karnataka,Hyderabad,2021,6,23,Foggy,National Highway,Car,Mechanical Failure,Minor Injury
Telangana,Kochi,2021,6,5,Rainy,Urban Road,Truck,Wrong Side Driving,Fatal
Kerala,Hyderabad,2021,5,14,Cloudy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Andhra Pradesh,Ahmedabad,2022,11,22,Clear,Rural Road,Car,Mechanical Failure,Fatal
Andhra Pradesh,Chennai,2023,7,1,Clear,Urban Road,Car,Overspeeding,Minor Injury
Telangana,Chennai,2021,9,3,Rainy,National Highway,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Jaipur,2018,6,13,Rainy,Rural Road,Two-Wheeler,Signal Jumping,Minor Injury
Telangana,Kochi,2021,10,3,Rainy,State Highway,Bus,Signal Jumping,Grievous Injury
Kerala,Chennai,2022,7,17,Foggy,State Highway,Car,Signal Jumping,Grievous Injury
Karnataka,Bhopal,2023,9,19,Clear,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Gujarat,Hyderabad,2019,7,15,Foggy,Urban Road,Bus,Signal Jumping,Grievous Injury
Tamil Nadu,Jaipur,2021,6,8,Cloudy,Urban Road,Bus,Poor Road Condition,Grievous Injury
Gujarat,Ahmedabad,2023,3,7,Foggy,Rural Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Tamil Nadu,Chennai,2023,1,10,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Grievous Injury
Andhra Pradesh,Bengaluru,2020,10,13,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Uttar Pradesh,Ahmedabad,2018,9,16,Cloudy,Rural Road,Truck,Mechanical Failure,Minor Injury
Kerala,Kochi,2022,7,12,Foggy,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Gujarat,Bhopal,2021,3,7,Foggy,Rural Road,Truck,Mechanical Failure,Minor Injury
Telangana,Pune,2020,10,13,Rainy,National Highway,Car,Mechanical Failure,Grievous Injury
Karnataka,Nagpur,2022,9,10,Rainy,State Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Karnataka,Bengaluru,2019,3,8,Cloudy,State Highway,Two-Wheeler,Drunk Driving,Fatal
Madhya Pradesh,Jaipur,2018,3,7,Rainy,Urban Road,Auto Rickshaw,Drunk Driving,Fatal
Karnataka,Hyderabad,2023,7,13,Clear,Rural Road,Car,Signal Jumping,Fatal
Karnataka,Kochi,2021,2,14,Clear,State Highway,Truck,Drunk Driving,Minor Injury
Uttar Pradesh,Kochi,2019,10,0,Cloudy,Rural Road,Car,Poor Road Condition,Minor Injury
Telangana,Pune,2022,7,23,Foggy,Rural Road,Bus,Signal Jumping,Fatal
Andhra Pradesh,Bengaluru,2020,7,11,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Karnataka,Hyderabad,2022,1,4,Clear,State Highway,Bus,Overspeeding,Minor Injury
Andhra Pradesh,Nagpur,2022,10,13,Foggy,Urban Road,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Mumbai,2018,11,21,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Karnataka,Mumbai,2021,2,15,Clear,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Kerala,Kochi,2019,5,18,Cloudy,Rural Road,Two-Wheeler,Poor Road Condition,Grievous Injury
Madhya Pradesh,Bengaluru,2018,4,15,Foggy,Urban Road,Truck,Overspeeding,Fatal
Gujarat,Pune,2020,3,6,Cloudy,Rural Road,Bus,Poor Road Condition,Grievous Injury
Kerala,Kochi,2023,10,2,Cloudy,State Highway,Truck,Wrong Side Driving,Minor Injury
Rajasthan,Mumbai,2021,11,22,Foggy,Rural Road,Truck,Poor Road Condition,Minor Injury
Maharashtra,Kochi,2023,8,7,Foggy,Urban Road,Bus,Signal Jumping,Minor Injury
Karnataka,Mumbai,2018,7,20,Clear,State Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Andhra Pradesh,Bengaluru,2020,9,20,Clear,Urban Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Maharashtra,Bengaluru,2020,3,13,Cloudy,Rural Road,Truck,Drunk Driving,Minor Injury
Tamil Nadu,Pune,2019,10,19,Cloudy,Rural Road,Truck,Mechanical Failure,Fatal
Karnataka,Jaipur,2022,1,2,Clear,Urban Road,Bus,Overspeeding,Minor Injury
Rajasthan,Jaipur,2020,9,23,Cloudy,State Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Uttar Pradesh,Kochi,2020,9,10,Rainy,Rural Road,Truck,Overspeeding,Minor Injury
Madhya Pradesh,Kochi,2022,12,21,Foggy,National Highway,Car,Poor Road Condition,Fatal
Rajasthan,Kochi,2017,12,13,Foggy,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Andhra Pradesh,Pune,2020,1,21,Rainy,National Highway,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Ahmedabad,2021,8,1,Clear,National Highway,Auto Rickshaw,Drunk Driving,Grievous Injury
Gujarat,Kochi,2023,10,3,Clear,Urban Road,Car,Mechanical Failure,Minor Injury
Uttar Pradesh,Jaipur,2023,1,20,Cloudy,Rural Road,Car,Signal Jumping,Grievous Injury
Karnataka,Jaipur,2018,6,4,Cloudy,State Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Maharashtra,Hyderabad,2022,9,18,Clear,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Maharashtra,Bengaluru,2022,3,9,Cloudy,Urban Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Andhra Pradesh,Ahmedabad,2022,6,20,Rainy,State Highway,Bus,Signal Jumping,Minor Injury
Uttar Pradesh,Mumbai,2021,3,20,Foggy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Rajasthan,Jaipur,2022,11,1,Rainy,Rural Road,Car,Wrong Side Driving,Grievous Injury
Andhra Pradesh,Nagpur,2021,5,20,Foggy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Madhya Pradesh,Nagpur,2023,11,2,Foggy,State Highway,Car,Overspeeding,Fatal
Andhra Pradesh,Jaipur,2019,7,14,Cloudy,State Highway,Car,Overspeeding,Grievous Injury
Andhra Pradesh,Nagpur,2017,11,18,Cloudy,Urban Road,Car,Mechanical Failure,Minor Injury
Gujarat,Chennai,2022,10,20,Foggy,Urban Road,Bus,Signal Jumping,Minor Injury
Kerala,Ahmedabad,2023,12,1,Cloudy,Rural Road,Bus,Drunk Driving,Minor Injury
Karnataka,Bengaluru,2017,4,2,Rainy,State Highway,Truck,Overspeeding,Minor Injury
Gujarat,Jaipur,2023,4,11,Clear,National Highway,Bus,Overspeeding,Minor Injury
Maharashtra,Jaipur,2022,7,22,Cloudy,National Highway,Car,Mechanical Failure,Grievous Injury
Maharashtra,Mumbai,2021,5,13,Cloudy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Tamil Nadu,Ahmedabad,2023,1,16,Cloudy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Tamil Nadu,Kochi,2018,11,15,Clear,Rural Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Rajasthan,Kochi,2017,10,16,Rainy,National Highway,Car,Poor Road Condition,Minor Injury
Maharashtra,Bhopal,2017,12,23,Foggy,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Kerala,Hyderabad,2021,2,8,Rainy,Urban Road,Two-Wheeler,Wrong Side Driving,Fatal
Gujarat,Chennai,2017,6,2,Cloudy,Urban Road,Truck,Overspeeding,Minor Injury
Madhya Pradesh,Pune,2019,12,21,Clear,National Highway,Truck,Overspeeding,Minor Injury
Kerala,Pune,2021,9,13,Rainy,State Highway,Bus,Signal Jumping,Grievous Injury
Tamil Nadu,Bhopal,2017,7,2,Cloudy,State Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Uttar Pradesh,Bengaluru,2017,4,5,Cloudy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Kerala,Pune,2017,12,22,Foggy,State Highway,Bus,Wrong Side Driving,Minor Injury
Kerala,Kochi,2021,12,20,Clear,Rural Road,Auto Rickshaw,Overspeeding,Grievous Injury
Kerala,Nagpur,2018,2,18,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Kerala,Hyderabad,2020,4,23,Rainy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Kerala,Ahmedabad,2023,5,12,Foggy,State Highway,Auto Rickshaw,Drunk Driving,Fatal
Tamil Nadu,Kochi,2022,2,4,Rainy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Maharashtra,Mumbai,2023,1,0,Cloudy,State Highway,Bus,Mechanical Failure,Minor Injury
Andhra Pradesh,Ahmedabad,2017,4,11,Clear,National Highway,Truck,Mechanical Failure,Minor Injury
Kerala,Pune,2023,11,14,Clear,Urban Road,Car,Overspeeding,Grievous Injury
Kerala,Mumbai,2020,6,18,Cloudy,State Highway,Truck,Signal Jumping,Minor Injury
Karnataka,Ahmedabad,2020,1,1,Clear,State Highway,Auto Rickshaw,Drunk Driving,Grievous Injury
Maharashtra,Jaipur,2017,1,2,Foggy,Rural Road,Car,Signal Jumping,Minor Injury
Andhra Pradesh,Chennai,2017,9,6,Rainy,State Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Madhya Pradesh,Kochi,2022,5,10,Rainy,Urban Road,Two-Wheeler,Signal Jumping,Minor Injury
Madhya Pradesh,Mumbai,2020,2,9,Rainy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Uttar Pradesh,Bhopal,2018,11,7,Foggy,Urban Road,Car,Mechanical Failure,Minor Injury
Telangana,Chennai,2020,2,1,Rainy,National Highway,Two-Wheeler,Signal Jumping,Fatal
Gujarat,Ahmedabad,2018,4,13,Clear,State Highway,Car,Signal Jumping,Minor Injury
Karnataka,Bengaluru,2023,11,12,Rainy,Urban Road,Two-Wheeler,Overspeeding,Grievous Injury
Maharashtra,Bhopal,2019,2,6,Foggy,National Highway,Bus,Overspeeding,Minor Injury
Maharashtra,Kochi,2018,4,20,Clear,Urban Road,Car,Signal Jumping,Minor Injury
Telangana,Jaipur,2022,11,8,Cloudy,State Highway,Bus,Drunk Driving,Minor Injury
Uttar Pradesh,Mumbai,2021,6,6,Clear,Urban Road,Bus,Mechanical Failure,Minor Injury
Rajasthan,Nagpur,2023,7,0,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Fatal
Tamil Nadu,Mumbai,2017,6,0,Clear,Urban Road,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Chennai,2019,4,5,Rainy,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Andhra Pradesh,Mumbai,2020,10,0,Foggy,State Highway,Car,Overspeeding,Grievous Injury
Uttar Pradesh,Chennai,2018,3,15,Cloudy,National Highway,Bus,Mechanical Failure,Minor Injury
Telangana,Bhopal,2019,4,2,Rainy,State Highway,Auto Rickshaw,Signal Jumping,Grievous Injury
Telangana,Mumbai,2023,12,12,Foggy,Urban Road,Car,Poor Road Condition,Minor Injury
Gujarat,Bhopal,2021,5,20,Foggy,National Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Karnataka,Jaipur,2018,4,3,Cloudy,State Highway,Car,Wrong Side Driving,Minor Injury
Kerala,Jaipur,2022,3,16,Cloudy,National Highway,Auto Rickshaw,Poor Road Condition,Grievous Injury
Madhya Pradesh,Chennai,2020,1,9,Foggy,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Telangana,Ahmedabad,2020,3,3,Cloudy,National Highway,Truck,Mechanical Failure,Minor Injury
Gujarat,Jaipur,2018,11,19,Cloudy,State Highway,Bus,Overspeeding,Minor Injury
